unit,date_init,date_end,value_replace
Chimay,"(2023,7,6,0,0)","(2023,7,7,0,0)",50.966247
Chimay,"(2023,7,7,0,0)","(2023,7,8,0,0)",50.966247
Chimay,"(2023,7,7,0,0)","(2023,7,8,0,0)",50.966247
Chimay,"(2023,7,8,0,0)","(2023,7,9,0,0)",50.966247
Chimay,"(2023,7,9,0,0)","(2023,7,10,0,0)",50.966247
Chimay,"(2023,7,10,0,0)","(2023,7,11,0,0)",50.966247
Chimay,"(2023,7,10,7,0)","(2023,7,10,17,0)",50.966247
Chimay,"(2023,7,11,0,0)","(2023,7,12,0,0)",50.966247
Chimay,"(2023,7,12,0,0)","(2023,7,13,0,0)",50.966247
Chimay,"(2023,7,13,0,0)","(2023,7,14,0,0)",50.966247
Chimay,"(2023,7,14,0,0)","(2023,7,15,0,0)",50.966247
Chimay,"(2023,7,15,0,0)","(2023,7,16,0,0)",50.966247
Chimay,"(2023,7,16,0,0)","(2023,7,17,0,0)",50.966247
Chimay,"(2023,7,17,0,0)","(2023,7,18,0,0)",50.966247
Chimay,"(2023,7,18,0,0)","(2023,7,19,0,0)",50.966247
Chimay,"(2023,7,19,0,0)","(2023,7,20,0,0)",50.966247
Chimay,"(2023,7,20,0,0)","(2023,7,21,0,0)",50.966247
Chimay,"(2023,7,21,0,0)","(2023,7,22,0,0)",50.966247
Chimay,"(2023,7,22,0,0)","(2023,7,23,0,0)",50.966247
Chimay,"(2023,10,9,7,0)","(2023,10,9,17,0)",50.966247
Chimay,"(2024,1,20,7,0)","(2024,1,20,17,0)",50.966247
Chimay,"(2024,4,20,7,0)","(2024,4,20,17,0)",50.966247
Chimay,"(2023,7,1,0,0)","(2023,7,2,0,0)",49.033753
Chimay,"(2023,7,2,0,0)","(2023,7,3,0,0)",49.033753
Chimay,"(2023,7,3,0,0)","(2023,7,4,0,0)",49.033753
Chimay,"(2023,7,4,0,0)","(2023,7,5,0,0)",49.033753
Chimay,"(2023,7,5,0,0)","(2023,7,6,0,0)",49.033753
Chimay,"(2023,7,6,0,0)","(2023,7,7,0,0)",49.033753
Chimay,"(2023,7,7,0,0)","(2023,7,8,0,0)",49.033753
Chimay,"(2023,8,1,0,0)","(2023,8,2,0,0)",49.033753
Chimay,"(2023,8,2,0,0)","(2023,8,3,0,0)",49.033753
Chimay,"(2023,8,3,0,0)","(2023,8,4,0,0)",49.033753
Chimay,"(2023,8,4,0,0)","(2023,8,5,0,0)",49.033753
Chimay,"(2023,8,5,0,0)","(2023,8,6,0,0)",49.033753
Chimay,"(2023,8,6,0,0)","(2023,8,7,0,0)",49.033753
Chimay,"(2023,8,7,0,0)","(2023,8,8,0,0)",49.033753
Chimay,"(2023,8,8,0,0)","(2023,8,9,0,0)",49.033753
Chimay,"(2023,8,9,0,0)","(2023,8,10,0,0)",49.033753
Chimay,"(2023,8,10,0,0)","(2023,8,11,0,0)",49.033753
Chimay,"(2023,8,11,0,0)","(2023,8,12,0,0)",49.033753
Chimay,"(2023,8,12,0,0)","(2023,8,13,0,0)",49.033753
Chimay,"(2023,8,13,0,0)","(2023,8,14,0,0)",49.033753
Chimay,"(2023,8,14,0,0)","(2023,8,15,0,0)",49.033753
Chimay,"(2023,8,15,0,0)","(2023,8,16,0,0)",49.033753
Chimay,"(2023,8,16,0,0)","(2023,8,17,0,0)",49.033753
Chimay,"(2023,8,17,0,0)","(2023,8,18,0,0)",49.033753
Chimay,"(2023,8,18,0,0)","(2023,8,19,0,0)",49.033753
Chimay,"(2023,8,19,0,0)","(2023,8,20,0,0)",49.033753
Chimay,"(2023,8,20,0,0)","(2023,8,21,0,0)",49.033753
Chimay,"(2023,8,20,7,0)","(2023,8,20,17,0)",49.033753
Chimay,"(2023,10,12,6,0)","(2023,10,12,17,0)",49.033753
Chimay,"(2024,1,21,7,0)","(2024,1,21,17,0)",49.033753
Chimay,"(2024,4,21,7,0)","(2024,4,21,17,0)",49.033753
Yanango,"(2023,9,17,7,0)","(2023,9,17,17,0)",100
Yanango,"(2023,9,18,0,0)","(2023,9,19,0,0)",100
Yanango,"(2023,9,19,0,0)","(2023,9,20,0,0)",100
Yanango,"(2023,9,20,0,0)","(2023,9,21,0,0)",100
Yanango,"(2023,9,21,0,0)","(2023,9,22,0,0)",100
Yanango,"(2023,9,22,0,0)","(2023,9,23,0,0)",100
Yanango,"(2023,9,23,0,0)","(2023,9,24,0,0)",100
Yanango,"(2023,9,24,0,0)","(2023,9,25,0,0)",100
Yanango,"(2023,9,25,0,0)","(2023,9,26,0,0)",100
Yanango,"(2023,7,7,7,0)","(2023,7,7,17,0)",100
Yanango,"(2023,9,16,0,0)","(2023,9,17,0,0)",100
